0.000,0.000
0.100,0.035
0.200,0.245
0.300,0.456
0.400,0.717
0.500,1.300
0.600,1.705
0.700,2.252
0.800,3.287
0.900,4.011
1.000,4.849
1.100,5.942
1.200,7.096
1.300,8.598
1.400,9.584
1.500,10.682
1.600,12.192
1.700,14.692
1.800,16.254
1.900,17.760
2.000,19.687
2.100,21.005
2.200,23.453
2.300,25.782
2.400,28.051
2.500,30.191
2.600,33.479
2.700,36.323
2.800,38.770
2.900,42.266
3.000,44.210
3.100,47.235
3.200,50.203
3.300,54.021
3.400,56.491
3.500,59.709
3.600,64.156
3.700,67.230
3.800,69.719
3.900,73.629
4.000,78.622
4.100,82.250
4.200,86.125
4.300,91.211
4.400,96.040
4.500,99.426
4.600,102.008
4.700,107.715
4.800,115.147
4.900,117.660
5.000,123.619
